epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6807,38.87,1.5012,45.92
2,1.4156,48.98,1.3789,50.94
3,1.3055,53.16,1.2920,53.35
4,1.2339,56.16,1.2844,54.23
5,1.1806,58.19,1.2444,55.94
6,1.1333,59.71,1.1983,57.10
7,1.0985,60.91,1.1841,57.82
8,1.0706,62.12,1.1612,58.62
9,1.0430,62.98,1.1535,59.26
10,1.0181,63.73,1.1367,60.19
11,0.9961,64.72,1.1513,59.37
12,0.9704,65.49,1.1110,60.42
13,0.9569,66.16,1.1322,60.62
14,0.9398,66.58,1.1432,59.87
15,0.9200,67.12,1.1281,60.71
16,0.9020,67.88,1.1673,60.02
17,0.8887,68.39,1.1385,61.19
18,0.8719,68.80,1.1493,60.86
19,0.8588,69.62,1.1614,60.80
20,0.8467,69.57,1.1643,60.95
