epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.5837,20.86,2.2686,32.60
2,2.3001,29.69,2.0832,37.35
3,2.1642,33.70,1.9696,40.70
4,2.0634,36.86,1.8876,42.10
5,1.9830,39.38,1.8645,44.80
6,1.8808,42.55,1.7957,45.50
7,1.8423,43.60,1.7744,46.75
8,1.8084,44.64,1.7549,46.50
9,1.7818,45.33,1.7593,46.90
10,1.7533,45.99,1.7459,46.70
11,1.7065,47.62,1.7148,48.75
12,1.6896,48.22,1.7233,48.25
13,1.6778,48.58,1.7196,48.75
14,1.6649,48.80,1.7154,48.70
15,1.6513,49.28,1.7223,48.15
16,1.6255,50.00,1.7157,48.95
17,1.6187,50.12,1.7011,49.10
18,1.6120,50.30,1.7059,48.75
19,1.6061,50.64,1.6904,49.25
20,1.5998,50.85,1.6987,48.90
