epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6308,40.85,1.5065,45.66
2,1.3945,49.94,1.3498,51.43
3,1.2944,53.74,1.2974,53.48
4,1.2281,56.18,1.2283,57.00
5,1.1771,58.22,1.2364,56.19
6,1.1333,59.68,1.1615,58.89
7,1.0965,61.02,1.1371,59.61
8,1.0624,62.38,1.1343,60.08
9,1.0330,63.31,1.1408,59.83
10,1.0090,64.17,1.1197,60.51
11,0.9819,65.02,1.0826,61.90
12,0.9610,65.85,1.1030,61.00
13,0.9410,66.43,1.0716,62.24
14,0.9214,67.12,1.0788,61.81
15,0.9021,68.02,1.0689,62.70
16,0.8845,68.50,1.0795,62.24
17,0.8642,69.13,1.0783,62.04
18,0.8526,69.44,1.0996,61.88
19,0.8412,70.07,1.0942,62.02
20,0.8227,70.40,1.0409,63.84
