epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6773,38.62,1.4803,46.67
2,1.4280,48.48,1.4572,49.50
3,1.3468,51.80,1.3286,52.34
4,1.2946,53.70,1.3296,52.88
5,1.2536,55.30,1.2511,56.50
6,1.2249,56.61,1.2723,54.49
7,1.1920,57.98,1.2554,56.66
8,1.1688,58.78,1.2371,57.18
9,1.1461,59.75,1.2612,56.21
10,1.1253,60.45,1.1922,58.79
11,1.1192,60.83,1.2255,57.35
12,1.0984,61.55,1.2073,58.08
13,1.0848,61.97,1.2146,58.16
14,1.0733,62.47,1.1542,60.79
15,1.0579,62.90,1.1471,60.62
16,1.0565,63.06,1.1735,59.72
17,1.0449,63.56,1.1435,60.58
18,1.0375,64.00,1.2269,58.36
19,1.0198,64.41,1.2178,59.04
20,1.0208,64.27,1.1788,59.92
