epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6255,41.09,1.4202,48.76
2,1.3345,52.17,1.3417,51.51
3,1.2142,56.87,1.2117,57.01
4,1.1245,60.13,1.1888,57.92
5,1.0573,62.53,1.2101,57.60
6,0.9942,64.72,1.1560,59.37
7,0.9399,66.90,1.1753,58.69
8,0.8914,68.40,1.1895,59.83
9,0.8459,69.80,1.1734,60.26
10,0.8033,71.60,1.2401,59.16
11,0.7618,72.92,1.2461,59.79
12,0.7197,74.52,1.2305,60.38
13,0.6840,75.53,1.2878,59.94
14,0.6511,76.81,1.3451,59.44
15,0.6186,78.04,1.3499,59.61
16,0.5888,79.03,1.3996,59.54
17,0.5597,79.92,1.4479,59.20
18,0.5330,80.85,1.5400,58.77
19,0.5024,82.02,1.5818,58.45
20,0.4793,82.83,1.6252,58.85
