epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6415,39.66,1.4468,47.52
2,1.4065,49.49,1.3358,52.15
3,1.2993,53.16,1.2740,54.91
4,1.2214,56.42,1.2234,56.53
5,1.1654,58.42,1.2247,56.83
6,1.1184,60.34,1.1769,58.97
7,1.0772,61.78,1.1362,60.40
8,1.0454,62.67,1.1292,60.57
9,1.0173,63.99,1.1895,59.20
10,0.9906,65.01,1.1278,60.78
11,0.9742,65.45,1.1296,61.24
12,0.9520,66.45,1.1120,62.06
13,0.9297,67.12,1.1227,61.00
14,0.9136,67.59,1.1130,61.54
15,0.8978,67.92,1.1216,62.56
16,0.8858,68.25,1.1222,61.86
17,0.8697,68.98,1.1452,61.12
18,0.8535,69.45,1.1074,62.31
19,0.8419,70.06,1.1403,61.15
20,0.8284,70.40,1.1360,61.95
