epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6249,40.66,1.4943,45.84
2,1.4011,49.87,1.3461,51.66
3,1.3161,53.02,1.2768,54.91
4,1.2480,55.83,1.2649,53.86
5,1.1949,57.67,1.2005,57.68
6,1.1491,59.41,1.1848,58.13
7,1.1106,60.73,1.1595,59.37
8,1.0768,61.80,1.1454,60.21
9,1.0452,62.87,1.1105,61.02
10,1.0205,63.88,1.1401,59.45
11,0.9993,64.47,1.0893,61.78
12,0.9796,65.38,1.0791,62.44
13,0.9611,65.78,1.0699,62.87
14,0.9450,66.77,1.0882,62.47
15,0.9301,66.97,1.0624,63.06
16,0.9128,67.63,1.1002,61.43
17,0.8968,68.16,1.0596,63.56
18,0.8833,68.56,1.0744,62.57
19,0.8682,69.33,1.0464,63.68
20,0.8595,69.31,1.1171,62.23
